name,mbase,bus_index,pg,qg,fuel,fuel_type,pmin,pmax,qmin,qmax,year_added
gen_1058_1,546.171568101272,255,5.500000047170991,-0.9875262853009267,hydrowater,Hydro,0.0,0.8,-0.1890909090909091,0.4072727272727272,2042
gen_2003_2,37.20679614011862,961,0.9000000095208436,0.19367325400966923,hydrowater,Hydro,0.0,0.34,-0.11333333333333334,0.15111111111111114,2042
gen_5008_1,59.56099006,1021,0.6000000097782465,0.05965751776332071,hydrowater,Hydro,0.0,0.43200000000000005,-0.14400000000000004,0.14400000000000004,2042
gen_1070_3,101.96111663690873,1034,-8.51584879992637e-9,-0.11319599491224105,wind,Wind,0.0,0.5141678612134254,-0.12242091933652983,0.24484183867305967,2042
gen_WSTWYSF1,116.95189050401194,882,0.0,-1.6999999719524246,solar,Solar,0.0,0.0,-0.0,0.0,2042
gen_2041_6,56.444140910141414,827,2.1000000122947,0.19511240931049906,naturalgas,Fossil,0.0,0.5,-0.09523809523809523,0.2619047619047619,2042
gen_1582_2,130.80465299406578,428,0.7000000096223669,0.009519598687599313,solar,Solar,0.0,0.0,-0.0,0.0,2042
pv_N5_2,1118.033988749895,1393,0.0,0.0,solar,solar,0.0,0.0,-0.0,0.0,2042
gen_WYASF1,69.23569693369454,1125,0.0,-1.6999999719524246,solar,Solar,0.0,0.0,-0.0,0.0,2042
gen_4050_4,6.0,1141,1.7887951819074237e-7,0.0,solar,Solar,0.0,0.0,0.0,0.0,2042
gen_TIMWEST,7.998989376164968,1433,-8.515848799878692e-9,-0.11082488334173381,wind,Wind,0.0,0.030825695472818035,-0.014919636608843928,0.014919636608843928,2042
gen_GOONSF1,77.49020958159811,1077,0.0,-1.6999999719524246,solar,Solar,0.0,0.0,-0.0,0.0,2042
wtg_V4_2,1118.033988749895,811,0.0,0.0,wind,wind,0.0,4.281346593446949,-2.1406732967234743,2.1406732967234743,2042
gen_1020_2,195.34336408724224,113,8.200000010014195,1.6957859545700886,naturalgas,Fossil,0.0,1.73,-0.5907317073170733,0.9071951219512195,2042
pv_N3_2,1118.033988749895,1815,0.0,0.0,solar,solar,0.0,0.0,-0.0,0.0,2042
gen_2004_8,90.0339754913002,1167,1.0000000095202728,0.24699076591385108,hydrowater,Hydro,0.0,1.85,-0.7400000000000001,0.7400000000000001,2042
gen_5016_6,72.60313276841859,1085,6.778542675952009e-9,-0.1219502949568618,hydrowater,Hydro,0.0,0.828,-0.31049999999999994,0.5175,2042
gen_5045_1,83.72531062298448,1880,0.9000000097459945,0.031108554837098443,hydrowater,Hydro,0.0,0.85,-0.18888888888888888,0.09444444444444444,2042
gen_JUNEESF1,40.00605658829173,1093,0.0,-1.6999999719524246,solar,Solar,0.0,0.0,-0.0,0.0,2042
gen_BRAEMAR6,200.53021977746894,659,-8.515848799878692e-9,-0.11082488334173381,wind,Wind,0.0,0.9252949651623074,-0.44784276313855675,0.44784276313855675,2042
gen_PTSTAN1_2,66.52492831177197,856,-8.515848799878692e-9,-0.11082488334173381,wind,Wind,0.0,0.30804663100621177,-0.14909456940700647,0.14909456940700647,2042
gen_2007_1,0.6813865119328261,571,0.7000000097756667,0.08294304974821473,solar,Solar,0.0,0.0,-0.0,0.0,2042
gen_2012_1,23.38719214,1268,-9.621017705979893e-9,0.09999999256202241,hydrowater,Hydro,0.0,0.135,0.0,0.04500000000000001,2042
gen_EMERASF1,79.98989376164965,125,0.0,-0.7957050950398918,solar,Solar,0.0,0.0,-0.0,0.0,2042
gen_2095_3,190.50777777777776,1889,2.2685108480654534,-0.35958253027045595,wind,Wind,0.0,0.7528890696129573,-0.2352778342540492,0.313703779005399,2042
gen_5005_4,45.257282110175375,566,1.5000000147717105,0.2991822970927146,hydrowater,Hydro,0.0,0.35339999999999994,-0.25916,0.28271999999999997,2042
gen_1027_2,227.8175288389394,1893,1.1000000106462295,-0.03201285206496508,solar,Solar,0.0,0.0,-0.0,0.0,2042
gen_2044_2,634.3308220768834,1668,-9.245051459779091e-9,-0.006448711003290266,browncoal,Fossil,0.0,5.8,-1.657142857142857,2.5685714285714285,2042
gen_WONWP,13.331648960274944,69,-8.515848799878692e-9,-0.11082488334173381,wind,Wind,0.0,0.05137615912136338,-0.024866061014739874,0.024866061014739874,2042
gen_2086_1,1.74613961108029,1948,0.0,-0.7000000029133298,solar,Solar,0.0,0.0,-0.0,0.0,2042
gen_1037_2,324.66050644395364,501,6.30000006264597,0.5116647828208223,hydrowater,Hydro,0.0,3.08,-0.4888888888888889,1.0266666666666668,2042
gen_2323_4,46.1283384356648,529,0.500000009789967,0.13287151784574708,wind,Wind,0.0,0.34229366014608353,-0.13691746405843344,0.13691746405843344,2042
gen_RACOMIL1,7.776795226827052,186,-8.515848799878692e-9,-0.11082488334173381,wind,Wind,0.0,0.035884015269452375,-0.017367863390414944,0.017367863390414944,2042
pv_Q7_3,566.6531674237167,2000,0.0,0.0,solar,solar,0.0,0.0,-0.0,0.0,2042
pv_N3_6,1118.033988749895,1815,0.0,0.0,solar,solar,0.0,0.0,-0.0,0.0,2042
gen_3431_2,133.90290759401574,1417,4.200000041641623,0.503958674525737,naturalgas,Fossil,0.0,1.22,-0.31952380952380954,0.5519047619047618,2042
gen_5037_2,57.69991334482227,1419,0.700000009772817,-0.13751895350899956,hydrowater,Hydro,0.0,0.408,-0.2914285714285714,0.408,2042
gen_5017_2,121.28379941278224,1472,2.000000019787434,-0.06429743240349915,naturalgas,Fossil,0.0,1.04,-0.20800000000000002,0.624,2042
pv_Q5_1,89.39155841250306,685,0.0,0.0,solar,solar,0.0,0.0,-0.0,0.0,2042
gen_4065_5,50.534916421992605,1033,2.6999998617854417,0.6708307361328479,naturalgas,Fossil,0.0,0.46799999999999997,-0.08666666666666666,0.19066666666666665,2042
gen_2059_6,113.018319971292,1415,1.2000000117648986,0.20000000655936698,wind,Wind,0.0,1.335780137155448,-0.333945034288862,0.22263002285924138,2042
gen_DDPS1_1,358.01032312071675,99,-8.515848799878692e-9,-0.11082488334173381,wind,Wind,0.0,1.651946274368718,-0.7995419967944595,0.7995419967944595,2042
gen_WILGB01_2,5.925177315677753,749,-8.515848799878692e-9,-0.11082488334173381,wind,Wind,0.0,0.029788484554494715,-0.014417626524375442,0.014417626524375442,2042
