name,mbase,bus_index,pg,qg,fuel,fuel_type,pmin,pmax,qmin,qmax,year_added,bus_name,area
gen_1085_2,77.87963626291821,1218,-7.999999925901295e-09,-0.1264141874128206,wind,Wind,0.0,0.0886628594243807,-0.0295542864747935,0.0147771432373967,2025,bus_1085,2
gen_1072_1,210.867295503616,1753,-8.515848799878692e-09,-0.1132798437275354,hydrowater,Hydro,0.0,0.144,-0.0327272727272727,0.0654545454545454,2025,bus_1072,4
wtg_N8_1,126.5390868467131,719,0.0,0.0,wind,wind,0.0,0.1306282534450847,-0.0653141267225423,0.0653141267225423,2025,bus_1238,4
gen_2024_2,108.100446894949,637,1.1000000106522343,0.4999999849088298,wind,Wind,0.0,0.6387606463347196,-0.2903457483339635,0.2903457483339635,2025,bus_2024,5
gen_5231_3,44.7213595499958,494,0.4000000097691451,-0.0082089024802244,naturalgas,Fossil,0.0,0.4,-0.2,0.2,2025,bus_5231,15
gen_4062_10,29.895506326053145,1013,2.699999861286651,0.6496274924838897,naturalgas,Fossil,0.0,0.27686,-0.0512703703703703,0.1127948148148148,2025,bus_4062,14
gen_BAKING1,16.331269976336806,1547,0.0,-0.7957050950398918,solar,Solar,0.0,0.0,-0.0,0.0,2025,bus_3002,8
gen_1005_4,755.5949696494532,332,9.131629824889368,-0.467106369577295,blackcoal,Fossil,0.0,6.7875,-1.4017663043478263,3.319972826086957,2025,bus_1005,2
pv_Q3_1,488.7261975022415,849,0.0,0.0,solar,solar,0.0,0.0,-0.0,0.0,2025,bus_3561,8
gen_WRSF1,22.219414933791576,968,0.0,-1.6999999719524246,solar,Solar,0.0,0.0,-0.0,0.0,2025,bus_1109,1
gen_4082_2,113.00355731985675,1887,1.100000010350988,-0.0277434155306601,wind,Wind,0.0,0.4593496042850648,-0.1670362197400236,0.1670362197400236,2025,bus_4082,14
gen_2011_4,53.081727110997626,1990,-9.779911865983564e-09,-0.0267974905324575,naturalgas,Fossil,0.0,0.53,-0.0294444444444444,0.0294444444444444,2025,bus_2011,6
gen_MAROOWF1,7.665698152158093,1535,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.0,0.0201806248155199,-0.0097674224107116,0.0097674224107116,2025,bus_2206,6
gen_CPSA_2,80.21208791098758,1172,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.0,0.1335745897198363,-0.0646501014244008,0.0646501014244008,2025,bus_3628,8
gen_5004_1,147.69696593489502,1707,1.5000000147720554,0.3091927027553426,hydrowater,Hydro,0.0,1.44,-0.8640000000000001,1.056,2025,bus_5004,15
gen_KINGASF1,44.43882986758315,1878,0.0,-0.7957050950398918,solar,Solar,0.0,0.0,-0.0,0.0,2025,bus_3483,8
gen_BRAEMAR5,200.53021977746891,659,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.0,0.3339364742995908,-0.1616252535610019,0.1616252535610019,2025,bus_3121,9
gen_MOREESF1,62.21436181461642,1336,0.0,-1.6999999719524246,solar,Solar,0.0,0.0,-0.0,0.0,2025,bus_1159,1
gen_2040_3,85.79509418341495,1454,2.100000012257214,0.1884007473516043,naturalgas,Fossil,0.0,0.7599999999999999,-0.1447619047619047,0.398095238095238,2025,bus_2040,6
gen_1058_1,546.171568101272,255,5.500000047170991,-0.9875262853009268,hydrowater,Hydro,0.0,0.8,-0.1890909090909091,0.4072727272727272,2025,bus_1058,3
gen_2003_2,37.20679614011862,961,0.9000000095208436,0.1936732540096692,hydrowater,Hydro,0.0,0.34,-0.1133333333333333,0.1511111111111111,2025,bus_2003,6
gen_5008_1,59.56099006,1021,0.6000000097782465,0.0596575177633207,hydrowater,Hydro,0.0,0.432,-0.144,0.144,2025,bus_5008,15
gen_1070_3,101.96111663690871,1034,-8.51584879992637e-09,-0.113195994912241,wind,Wind,0.0,0.1062484677915092,-0.0252972542360736,0.0505945084721472,2025,bus_1070,4
gen_WSTWYSF1,116.95189050401194,882,0.0,-1.6999999719524246,solar,Solar,0.0,0.0,-0.0,0.0,2025,bus_1124,2
gen_2041_6,56.44414091014141,827,2.1000000122947,0.195112409310499,naturalgas,Fossil,0.0,0.5,-0.0952380952380952,0.2619047619047619,2025,bus_2041,6
gen_1582_2,130.80465299406578,428,0.7000000096223669,0.0095195986875993,solar,Solar,0.0,0.0,-0.0,0.0,2025,bus_1582,1
gen_GOONSF1,77.49020958159811,1077,0.0,-1.6999999719524246,solar,Solar,0.0,0.0,-0.0,0.0,2025,bus_1358,1
gen_WYASF1,69.23569693369454,1125,0.0,-1.6999999719524246,solar,Solar,0.0,0.0,-0.0,0.0,2025,bus_1138,2
gen_TIMWEST,7.998989376164968,1433,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.0,0.0210580432857599,-0.0101920929503078,0.0101920929503078,2025,bus_2030,5
gen_4050_4,6.0,1141,1.7887951819074237e-07,0.0,solar,Solar,0.0,0.0,0.0,0.0,2025,bus_4050,12
gen_1020_2,195.34336408724224,113,8.200000010014195,1.6957859545700886,naturalgas,Fossil,0.0,1.73,-0.5907317073170733,0.9071951219512197,2025,bus_1020,3
