name,mbase,bus_index,pg,qg,fuel,fuel_type,pmax,qmax,year_exp,exp_time
pv_T3_1,0.0,2010,0.0,0.0,solar,solar,0.0,0.0,2025,2025-12-01
owtg_N11_1,0.0,2017,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2025,2025-12-01
gen_2047_2,407.70700263792384,1703,-9.245301553431764e-09,-0.0646142701827096,browncoal,Fossil,3.75,1.6,2025,2025-12-01
gen_2043_2,407.70700263792384,1703,6.400000063792992,0.7096079057704425,browncoal,Fossil,3.75,1.6,2025,2025-12-01
gen_4078_11,34.96740921,1593,-9.69048039521497e-09,0.0815082956172067,wind,Wind,0.4,0.1,2025,2025-12-01
wtg_Q3_1,0.0,849,0.0,0.0,wind,wind,0.0,0.0,2025,2025-12-01
gen_4036_1,196.9771560359221,1450,-9.791131303591114e-09,-0.0064693660620227,naturalgas,Fossil,1.8,0.8,2025,2025-12-01
pv_V3_1,0.0,811,0.0,0.0,solar,solar,0.0,0.0,2025,2025-12-01
pv_N8_1,0.0,719,0.0,0.0,solar,solar,0.0,0.0,2025,2025-12-01
pv_S7_1,0.0,2005,0.0,0.0,solar,solar,0.0,0.0,2025,2025-12-01
gen_4028_1,37.22684,603,-9.791539588555685e-09,0.0456920416499247,wind,Wind,0.4,0.3,2025,2025-12-01
owtg_N10_1,0.0,2016,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2025,2025-12-01
gen_1044_1,1667.0932787339766,555,8.400000075184948,-1.0807269730475024,blackcoal,Fossil,14.4,8.4,2027,2027-12-01
gen_1081_5,800.5623023850173,1272,3.5638637708802675e-08,0.1508669773825184,blackcoal,Fossil,7.2,3.5,2027,2027-12-01
gen_1082_6,800.5623023850173,537,3.5367441221246475e-08,0.1473948457493155,blackcoal,Fossil,7.2,3.5,2027,2027-12-01
gen_4052_1,57.02245171859941,145,1.9999998317310084,0.899999792239791,naturalgas,Fossil,0.52,0.234,2030,2030-12-01
gen_4052_2,57.02245171859941,145,1.9999998317310084,0.899999792239791,naturalgas,Fossil,0.52,0.234,2030,2030-12-01
gen_WHILL1,13.331648960274944,45,-8.821856916465006e-09,0.012738575734369,wind,Wind,0.12,0.0580799999999999,2030,2030-12-01
gen_4066_1,175.50502469390602,284,1.7999999690819168,-0.3999999682651847,naturalgas,Fossil,0.9,0.35,2030,2030-12-01
gen_4052_3,57.02245171859941,145,1.9999998317310084,0.899999792239791,naturalgas,Fossil,0.52,0.234,2030,2030-12-01
gen_4003_1,36.2839481079485,1175,-9.791364103849414e-09,-0.067369610535639,wind,Wind,0.62,0.155,2030,2030-12-01
gen_3656_1,377.4193527172111,1219,3.930555683056157,-0.8800174451277207,blackcoal,Fossil,3.5,1.412280701754386,2031,2031-12-01
gen_3656_2,377.4193527172111,1219,3.930555683056157,-0.8800174451277207,blackcoal,Fossil,3.5,1.412280701754386,2031,2031-12-01
owtg_V7_2,0.0,2018,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2031,2031-12-01
"gen_[ANGAST1, ANGAST1]",51.32684849705854,1503,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.9075,0.4392299999999999,2031,2031-12-01
gen_TOORAWF,23.330385680481157,1629,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.21,0.10164,2032,2032-12-01
owtg_V7_3,0.0,2018,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2032,2032-12-01
gen_1002_1,848.605419222452,130,7.59184936237757,2.227315438578727,blackcoal,Fossil,6.6,2.8729411764705883,2033,2033-12-01
gen_1005_1,755.5949696494532,332,9.131629824889368,-0.467106369577295,blackcoal,Fossil,6.7875,3.319972826086957,2033,2033-12-01
gen_1005_2,755.5949696494532,332,9.131629824889368,-0.467106369577295,blackcoal,Fossil,6.7875,3.319972826086957,2033,2033-12-01
gen_1004_3,914.521020424575,292,8.463717536066333,-0.5388492326357163,blackcoal,Fossil,6.6,2.7978260869565217,2033,2033-12-01
gen_2021_14,152.586644802825,1319,-9.47261519190635e-09,0.4999999856744627,naturalgas,Fossil,1.7,0.53125,2033,2033-12-01
gen_1005_3,755.5949696494532,332,9.131629824889368,-0.467106369577295,blackcoal,Fossil,6.7875,3.319972826086957,2033,2033-12-01
gen_1005_4,755.5949696494532,332,9.131629824889368,-0.467106369577295,blackcoal,Fossil,6.7875,3.319972826086957,2033,2033-12-01
gen_3585_1,43.902592653775656,1064,4.200000041647239,0.3019279933766468,naturalgas,Fossil,0.4,0.1809523809523809,2034,2034-12-01
gen_3426_4,411.61222137440905,628,4.199999126838954,0.64749760785896,naturalgas,Fossil,0.37,0.1673809523809523,2034,2034-12-01
gen_3585_2,43.902592653775656,1064,4.200000041647239,0.3019279933766468,naturalgas,Fossil,0.4,0.1809523809523809,2034,2034-12-01
gen_4081_1,85.50290291124624,395,-9.68851251153455e-09,0.0377858736264067,wind,Wind,0.8295,0.207375,2035,2035-12-01
gen_2045_1,606.6216292806507,1827,-9.245202508435553e-09,-0.0465286312184052,browncoal,Fossil,5.525,2.5046666666666666,2035,2035-12-01
gen_4061_1,43.66062299143245,1402,-9.791274748520029e-09,0.0284330133615744,naturalgas,Fossil,0.4,0.175,2035,2035-12-01
gen_4033_1,37.2833587994021,56,-9.791131303591114e-09,-0.0049204144703049,wind,Wind,0.46,0.345,2035,2035-12-01
gen_2045_2,606.6216292806507,1827,-9.245202508435553e-09,-0.0465286312184052,browncoal,Fossil,5.525,2.5046666666666666,2035,2035-12-01
gen_4061_2,43.66062299143245,1402,-9.791274748520029e-09,0.0284330133615744,naturalgas,Fossil,0.4,0.175,2035,2035-12-01
gen_4081_2,85.50290291124624,395,-9.68851251153455e-09,0.0377858736264067,wind,Wind,0.8295,0.207375,2035,2035-12-01
gen_2045_3,606.6216292806507,1827,-9.245202508435553e-09,-0.0465286312184052,browncoal,Fossil,5.525,2.5046666666666666,2035,2035-12-01
gen_2045_4,606.6216292806507,1827,-9.245202508435553e-09,-0.0465286312184052,browncoal,Fossil,5.525,2.5046666666666666,2035,2035-12-01
gen_GUNNING1_1,25.830069860532703,933,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.2325,0.11253,2036,2036-12-01
gen_4027_1,36.2619373,184,-9.791539588555685e-09,0.0450386661152838,wind,Wind,0.525,0.3937499999999999,2036,2036-12-01
gen_SWAN_E,427.72373747548784,1124,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,3.85,1.8634,2036,2036-12-01
gen_1039_2,338.426626157714,1386,2.19103942539227,-0.3794980413102803,hydrowater,Hydro,0.19,0.0502941176470588,2036,2036-12-01
gen_4083_4,50.33152763,152,-9.690878810778837e-09,0.0015256767998686,wind,Wind,1.3230000000000002,0.2205,2036,2036-12-01
gen_3275_1,1.09717493208591,425,0.0,-0.1989009900516641,solar,Solar,1.21,0.5856399999999999,2036,2036-12-01
gen_GUNNING1_2,25.830069860532703,933,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.2325,0.11253,2036,2036-12-01
gen_CBWF1,21.99722078445366,986,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.198,0.095832,2036,2036-12-01
gen_4064_2,284.17896921371107,1882,2.7999998626976206,0.7515425422804861,naturalgas,Fossil,2.645,1.039107142857143,2037,2037-12-01
